sample_key,section,qa_index,source_modality,annotation_key,fusion_score,support_score,modality_reliability,is_outlier,drop_reason,question,answer
cut_carrot,scene_overview,1,rgb,scene_sequence,2.7,0.625,1.0,False,selected_topk,1. What is the first tool I pick up? 2. What object is used to collect the carrot skin? 3. What action follows the peeling of the carrot? 4. What tool is used after the peeler is put down? 5. Where do I place the carrot segments before julienning them? 6. What is the sequence of tasks performed? 7. Was the bowl empty or full at the start? 8. What is the last tool I am seen holding? 9. Where is the knife located at the beginning? 10. What did I do immediately after finishing peeling?,"1. The peeler. 2. A white bowl. 3. Slicing with a knife. 4. A chef's knife. 5. On the cutting board. 6. Peeling, then slicing. 7. Empty. 8. The knife. 9. On the right side of the cutting board. 10. Set down the peeler and picked up the knife."
cut_carrot,scene_overview,2,ir,scene_sequence,2.48,0.375,1.0,False,selected_topk,What setting is described in the scene overview?,kitchen counter
cut_carrot,visible_objects_and_layout,1,rgb,object_recognition,3.19,0.667,1.0,False,selected_topk,What is to the right of the cutting board?,empty white bowl
cut_carrot,visible_objects_and_layout,2,rgb,spatial_reasoning,3.19,0.667,1.0,False,selected_topk,What object is explicitly mentioned in the layout?,laptop is positioned about 1 step
cut_carrot,visible_objects_and_layout,3,rgb,spatial_reasoning,3.19,0.667,1.0,False,selected_topk,What object is explicitly mentioned in the layout?,white bowl is placed roughly 0
cut_carrot,motion_and_event_cues,1,ir,dynamic_recognition,2.81,0.667,1.0,False,selected_topk,What motion cue is described?,Hands enter the frame at frame_000030
cut_carrot,motion_and_event_cues,2,rgb,scene_sequence,2.71,0.667,1.0,False,selected_topk,1. What is the first tool I pick up? 2. What object is used to collect the carrot skin? 3. What action follows the peeling of the carrot? 4. What tool is used after the peeler is put down? 5. Where do I place the carrot segments before julienning them? 6. What is the sequence of tasks performed? 7. Was the bowl empty or full at the start? 8. What is the last tool I am seen holding? 9. Where is the knife located at the beginning? 10. What did I do immediately after finishing peeling?,"1. The peeler. 2. A white bowl. 3. Slicing with a knife. 4. A chef's knife. 5. On the cutting board. 6. Peeling, then slicing. 7. Empty. 8. The knife. 9. On the right side of the cutting board. 10. Set down the peeler and picked up the knife."
cut_carrot,audio_cues,1,audio,audio_chronological_caption,2.739,0.087,0.774,False,selected_topk,What audio cue is described?,[01:13 - 01:18] A short break
cut_carrot,audio_cues,2,audio,audio_chronological_caption,2.739,0.087,0.774,False,selected_topk,What sound is described?,knife blade scraping across the board is heard
cut_carrot,cross_modal_details,1,fused,fused_cross_modal_details_fallback,,0.0,1.0,False,fallback_no_selected_evidence,What cross-modal detail is stated?,RGB and IR cues agree on the visual
cut_carrot,final_unified_caption,1,fused,fused_final_unified_caption,,0.0,1.0,False,selected_summary,What does the unified caption describe?,"Initially, a carrot, peeler, and knife are stationary"
wash_hands,motion_and_event_cues,1,event,event_dynamic_counting,2.439,0.091,1.0,False,selected_topk,What motion cue is described?,All apparent motion is caused by the camera
wash_hands,motion_and_event_cues,2,event,event_dynamic_counting,2.43,0.083,1.0,False,selected_topk,What motion cue is described?,There are no independent moving humans
wash_hands,audio_cues,1,audio,audio_chronological_caption,2.58,0.042,1.0,False,selected_topk,What audio cue is described?,00:24 - 00:27 Rhythmic
wash_hands,audio_cues,2,audio,audio_chronological_caption,2.53,0.0,1.0,False,selected_topk,What sound is described?,water begins
wash_hands,cross_modal_details,1,fused,fused_cross_modal_details_fallback,,0.0,1.0,False,fallback_no_selected_evidence,What cross-modal detail is stated?,Audio evidence matches the rest of the sample
wash_hands,final_unified_caption,1,fused,fused_final_unified_caption,,0.0,1.0,False,selected_summary,What does the unified caption describe?,All apparent motion is caused by the camera
